№,Имя,Род,Текст,Ссылка
98,Лю Сяобо,Муж,За длительную ненасильственную борьбу за фундаментальные права человека в Китае.,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%BB%D0%B0%D1%83%D1%80%D0%B5%D0%B0%D1%82%D0%BE%D0%B2_%D0%9D%D0%BE%D0%B1%D0%B5%D0%BB%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B9_%D0%BF%D1%80%D0%B5%D0%BC%D0%B8%D0%B8_%D0%BC%D0%B8%D1%80%D0%B0#:~:text=2010-,%D0%9B%D1%8E%20%D0%A1%D1%8F%D0%BE%D0%B1%D0%BE,-(1955%E2%80%942017)"
99,Элен Джонсон-Серлиф,Жен,За ненасильственную борьбу за права и безопасность женщин и участие в миротворческом процессе.,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D0%BD%D1%81%D0%BE%D0%BD-%D0%A1%D0%B5%D1%80%D0%BB%D0%B8%D1%84,_%D0%AD%D0%BB%D0%B5%D0%BD"
100,Лейма Гбови,Жен,За ненасильственную борьбу за права и безопасность женщин и участие в миротворческом процессе.,"https://ru.wikipedia.org/wiki/%D0%93%D0%B1%D0%BE%D0%B2%D0%B8,_%D0%9B%D0%B5%D0%B9%D0%BC%D0%B0"
101,Тавакуль Карман,Жен,За ненасильственную борьбу за права и безопасность женщин и участие в миротворческом процессе.,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%BC%D0%B0%D0%BD,_%D0%A2%D0%B0%D0%B2%D0%B0%D0%BA%D1%83%D0%BB%D1%8C"
102,Малала Юсуфзай,Жен,За борьбу против притеснений детей и молодёжи и за права детей на образование.,"https://ru.wikipedia.org/wiki/%D0%AE%D1%81%D1%83%D1%84%D0%B7%D0%B0%D0%B9,_%D0%9C%D0%B0%D0%BB%D0%B0%D0%BB%D0%B0"
103,Кайлаш Сатьяртхи,Муж,За борьбу против притеснений детей и молодёжи и за права детей на образование.,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%82%D1%8C%D1%8F%D1%80%D1%82%D1%85%D0%B8,_%D0%9A%D0%B0%D0%B9%D0%BB%D0%B0%D1%88"
104,Хуан Сантос,Муж,"За усилия по прекращению в стране более чем полувековой гражданской войны.
Роль: президент Колумбии.","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D1%82%D0%BE%D1%81,_%D0%A5%D1%83%D0%B0%D0%BD_%D0%9C%D0%B0%D0%BD%D1%83%D1%8D%D0%BB%D1%8C"
105,Дени Муквеге,Муж,За попытку прекратить использование сексуального насилия в качестве оружия в войнах и вооружённых конфликтах.,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%BA%D0%B2%D0%B5%D0%B3%D0%B5,_%D0%94%D0%B5%D0%BD%D0%B8"
106,Надя Мурад,Жен,За попытку прекратить использование сексуального насилия в качестве оружия в войнах и вооружённых конфликтах.,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D0%B0%D0%B4,_%D0%9D%D0%B0%D0%B4%D1%8F"
107,Абий Ахмед Али,Муж,За разрешение пограничного конфликта с Эритреей,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B8%D0%B9_%D0%90%D1%85%D0%BC%D0%B5%D0%B4_%D0%90%D0%BB%D0%B8
108,Мария Ресса,Жен,"За усилия по защите свободы слова, которая является необходимым условием демократии и прочного мира","https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D1%81%D0%B0,_%D0%9C%D0%B0%D1%80%D0%B8%D1%8F"
109,Дмитрий Муратов,Муж,"За усилия по защите свободы слова, которая является необходимым условием демократии и прочного мира","https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D0%B0%D1%82%D0%BE%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
