№,Имя,Род,Текст,Ссылка
63,Уильям Шокли,Муж,За исследования полупроводников и открытие транзисторного эффекта,"https://ru.wikipedia.org/wiki/%D0%A8%D0%BE%D0%BA%D0%BB%D0%B8,_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC_%D0%91%D1%80%D1%8D%D0%B4%D1%84%D0%BE%D1%80%D0%B4"
64,Джон Бардин,Муж,За исследования полупроводников и открытие транзисторного эффекта,"https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%B4%D0%B8%D0%BD,_%D0%94%D0%B6%D0%BE%D0%BD"
65,Уолтер Браттейн,Муж,За исследования полупроводников и открытие транзисторного эффекта,"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D1%82%D0%B5%D0%B9%D0%BD,_%D0%A3%D0%BE%D0%BB%D1%82%D0%B5%D1%80_%D0%A5%D0%B0%D1%83%D0%B7%D0%B5%D1%80"
66,Янг Чжэньнин,Муж,"За проницательное исследование так называемых законов чётности, которое привело к важным открытиям в физике элементарных частиц",https://ru.wikipedia.org/wiki/%D0%AF%D0%BD%D0%B3_%D0%A7%D0%B6%D1%8D%D0%BD%D1%8C%D0%BD%D0%B8%D0%BD
67,Ли Чжэндао,Муж,"За проницательное исследование так называемых законов чётности, которое привело к важным открытиям в физике элементарных частиц",https://ru.wikipedia.org/wiki/%D0%9B%D0%B8_%D0%A7%D0%B6%D1%8D%D0%BD%D0%B4%D0%B0%D0%BE
68,Павел Черенков,Муж,За открытие и истолкование эффекта Вавилова — Черенкова,"https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2,_%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
69,Илья Франк,Муж,За открытие и истолкование эффекта Вавилова — Черенкова,"https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D0%BA,_%D0%98%D0%BB%D1%8C%D1%8F_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
70,Игорь Тамм,Муж,За открытие и истолкование эффекта Вавилова — Черенкова,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%BC,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
71,Эмилио Сегре,Муж,За открытие антипротона,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B3%D1%80%D0%B5,_%D0%AD%D0%BC%D0%B8%D0%BB%D0%B8%D0%BE_%D0%94%D0%B6%D0%B8%D0%BD%D0%BE"
72,Оуэн Чемберлен,Муж,За открытие антипротона,"https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BC%D0%B1%D0%B5%D1%80%D0%BB%D0%B5%D0%BD,_%D0%9E%D1%83%D1%8D%D0%BD"
73,Дональд Глазер,Муж,За изобретение пузырьковой камеры,"https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D0%B7%D0%B5%D1%80,_%D0%94%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%B4_%D0%90%D1%80%D1%82%D1%83%D1%80"
74,Роберт Хофштадтер,Муж,"За основополагающие исследования рассеяния электронов на атомных ядрах и за связанные с ними открытия, касающиеся структуры нуклонов","https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D1%84%D1%88%D1%82%D0%B0%D0%B4%D1%82%D0%B5%D1%80,_%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82"
